Company,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,year
Metvy,2018.0,Gurgaon,Other,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Pre-series,2020
Rupeek,2015.0,Bangalore,Financial Services,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020
Gig India,2017.0,Pune,Financial Services,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020
Slurrp Farm,2016.0,Gurgaon,Technology,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020
Medfin,2017.0,Bangalore,Healthcare,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series A,2020
MasterG,2015.0,New,Technology,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Series A,2020
Brila 91,2014.0,New,Technology,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Series A,2020
FoodyBuddy,2015.0,Belgaum,Hospitality and Tourism,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Series A,2020
Zomato,2008.0,Gurgaon,Hospitality and Tourism,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Series A,2020
OurEye.ai,2020.0,Bangalore,Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Series A,2020
Shiprocket,2017.0,New,Retail and E-Commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020
Pine Labs,1998.0,Noida,Financial Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Series C,2020
Moneyboxx Finance,2019.0,New,Financial Services,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Series C,2020
EWar,2019.0,Bangalore,Media and Entertainment,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Pre-series A,2020
SucSEED Indovation,2016.0,Hyderabad,Financial Services,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Undisclosed,5000000.0,Pre-series A,2020
TaxBuddy.com,2019.0,Mumbai,Financial Services,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Pre-series A,2020
Awign Enterprises,2016.0,Bangalore,Other,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Pre-series A,2020
Circle of Angels,2018.0,Gurgaon,Financial Services,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Undisclosed,3000000.0,Pre-series A,2020
CoinDCX,2017.0,Mumbai,Financial Services,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series B,2020
Glance,2016.0,Bangalore,Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Series B,2020
VerSe Innovation,2007.0,Bangalore,Other,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Series B,2020
Voosh,2020.0,Bangalore,Hospitality and Tourism,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre-seed,2020
Delhivery,2011.0,Gurgaon,Retail and E-Commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Pre-seed,2020
Arya,1982.0,Noida,Technology,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series B,2020
Pickrr,2015.0,New,Hospitality and Tourism,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Series B,2020
PhonePe,2015.0,Andheri,Financial Services,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Series B,2020
Countingwell,2018.0,Bangalore,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020
Callify.ai,2016.0,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020
Hudle,2016.0,New,Media and Entertainment,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Pre-series A,2020
Cover it Up,2013.0,Chennai,Retail and E-Commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Seed,2020
BiteSpeed,2019.0,Gurgaon,Retail and E-Commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed,2020
WakeFit,2016.0,Bangalore,Technology,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B,2020
Sreyas Holistic Remedies,2008.0,Hyderabad,Healthcare,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Series B,2020
Fleeca India,2016.0,Jaipur,Other,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Series B,2020
M1xchange,2017.0,Gurgaon,Financial Services,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Series B,2020
Exotel,2011.0,Bangalore,Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Series B,2020
PagarBook,2019.0,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A,2020
PointOne Capital,2020.0,Bangalore,Financial Services,Pre-seed/Seed focussed VC investor,Mihir Jha,Undisclosed,3000000.0,Series A,2020
Ayana,2017.0,Bangalore,Energy,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Series A,2020
Fisdom,2015.0,Bangalore,Financial Services,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Series A,2020
Tinker Coders,2020.0,Noida,Education,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Seed,2020
Infinite Uptime,2015.0,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020
HappyLocate,2016.0,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Pre-series A,2020
PhonePe,2015.0,New,Financial Services,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Pre-series A,2020
Loop Health,2017.0,Pune,Healthcare,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed,2020
NeoDocs,2020.0,Mumbai,Healthcare,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre-seed,2020
The ePlane,2016.0,Chennai,Aerospace and Defense,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed,2020
TagMango,2019.0,Mumbai,Technology,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed,2020
The New Shop,2019.0,New,Technology,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed,2020
MobiKwik,2009.0,Gurgaon,Financial Services,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Seed,2020
DebugsBunny,2020.0,Pune,Education,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Seed,2020
BHIVE Investech,2014.0,Bangalore,Technology,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed,2020
Rivigo,2014.0,Gurgaon,Hospitality and Tourism,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Seed,2020
ZipLoan,2015.0,New,Financial Services,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Seed,2020
Swipez,2014.0,Pune,Financial Services,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Seed,2020
Humus,2019.0,Bangalore,Technology,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Seed,2020
Artivatic.ai,2017.0,Bangalore,Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",3000000.0,Seed,2020
Prescinto,2016.0,Ahmedabad,Technology,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",3000000.0,Seed,2020
Toppeq,2019.0,Mumbai,Technology,SaaS-based equity management platform,Nandini Sankar,Undisclosed,3000000.0,Seed,2020
Bolo Indya,2019.0,Gurgaon,Technology,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Seed,2020
Bombay Play,2017.0,Bangalore,Technology,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020
FreshToHome,2015.0,Bangalore,Retail and E-Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),3000000.0,Seed,2020
KIKO TV,2020.0,Mumbai,Media and Entertainment,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed,2020
Atomberg Technologies,2012.0,Mumbai,Consumer Goods,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Series B,2020
DealShare,2018.0,Jaipur,Retail and E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020
Smallcase,2015.0,Bangalore,Financial Services,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",3000000.0,Series C,2020
CueMath,2011.0,Bangalore,Education,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020
Gamerji,2018.0,Ahmedabad,Technology,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed,2020
5C Network,2014.0,Bangalore,Healthcare,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020
Ethereum Push Notification Service,2020.0,Mumbai,Financial Services,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed,2020
Mihup,2016.0,Kolkata,Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A,2020
RuralBasket,2019.0,Tirunelveli,Retail and E-Commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Series A,2020
WayCool Foods,2015.0,Chennai,Technology,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Series B,2020
